8;9,35999196371995E-07
63;2,17500019061845E-06
311;3,74850060325116E-06
616;4,3004993131035E-06
1239;5,08349876326975E-06
1859;5,63699995836942E-06
2474;5,89950013818452E-06
3066;6,15550106886076E-06
3708;6,53550068818731E-06
4298;6,7155006036046E-06
4939;6,54799987387378E-06
5537;6,73950034979498E-06
6149;7,16600061423378E-06
6745;7,27699989511166E-06
7378;6,99499923939584E-06
8002;7,77700006437954E-06
8606;7,86100008554058E-06
9214;7,56349982111715E-06
9835;8,44549958856078E-06
10444;8,5279998529586E-06
11077;8,55449980008416E-06
11671;7,7245003922144E-06
12270;8,04000046628062E-06
18411;9,2665004558512E-06
27650;9,15849886951037E-06
36826;9,6494995887042E-06
46036;1,00935003501945E-05
55226;9,78199932433199E-06
